Local time in Romulus / Detroit (airport);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td
31.08.2022 23:53;19.0;743.9;761.0;73;Wind blowing from the west-southwest;2;;;;No clouds;16.0;14.0
31.08.2022 22:53;21.0;744.0;761.0;64;Wind blowing from the west;3;;;;No clouds;16.0;14.0
31.08.2022 21:53;22.0;744.1;761.0;57;Wind blowing from the west;4;;;;No clouds;16.0;13.0
31.08.2022 20:53;23.0;743.9;760.7;53;Wind blowing from the west;5;;;;No clouds;16.0;13.0
31.08.2022 19:53;24.0;743.7;760.5;47;Wind blowing from the west;6;;;;No clouds;16.0;12.0
31.08.2022 18:53;25.0;743.3;760.0;44;Wind blowing from the west-northwest;6;;;;Few clouds (10-30%) 1800 m;16.0;12.0
31.08.2022 17:53;27.0;743.1;759.7;39;Wind blowing from the west;8;;;;Few clouds (10-30%) 1800 m;16.0;12.0
31.08.2022 16:53;28.0;743.0;759.5;40;Wind blowing from the west-northwest;8;11;;;Scattered clouds (40-50%) 1950 m;16.0;13.0
31.08.2022 15:53;28.0;743.2;759.7;40;Wind blowing from the west;7;12;;;Scattered clouds (40-50%) 1950 m;16.0;13.0
31.08.2022 14:53;28.0;743.5;760.0;40;Wind blowing from the west;8;12;;;Scattered clouds (40-50%) 1950 m;16.0;13.0
31.08.2022 13:53;28.0;743.7;760.2;40;Wind blowing from the west;8;13;;;Scattered clouds (40-50%) 1650 m;16.0;13.0
31.08.2022 12:53;28.0;743.7;760.2;40;Wind blowing from the west;7;12;;;Scattered clouds (40-50%) 1650 m;16.0;13.0
31.08.2022 11:53;27.0;743.9;760.5;42;Wind blowing from the west;8;12;;;Scattered clouds (40-50%) 1650 m;16.0;13.0
31.08.2022 10:53;26.0;744.0;760.7;45;Wind blowing from the west-northwest;8;12;;;Few clouds (10-30%) 1200 m;16.0;13.0
31.08.2022 9:53;24.0;743.9;760.7;54;Wind blowing from the west;6;10;;;No clouds;16.0;14.0
31.08.2022 8:53;23.0;743.9;760.7;57;Wind blowing from the west;5;;;;Few clouds (10-30%) 7500 m;16.0;14.0
31.08.2022 7:53;21.0;744.0;761.0;64;Wind blowing from the west;4;;;;Few clouds (10-30%) 2100 m, scattered clouds (40-50%) 6600 m;16.0;14.0
31.08.2022 6:53;17.0;744.0;761.2;83;Wind blowing from the west;4;;;;Scattered clouds (40-50%) 2100 m, broken clouds (60-90%) 6600 m;16.0;14.0
31.08.2022 5:53;15.0;743.4;760.7;88;Wind blowing from the south-west;3;;;;Few clouds (10-30%) 2100 m, scattered clouds (40-50%) 5100 m;16.0;13.0
31.08.2022 4:53;16.0;743.5;760.7;83;Wind blowing from the west;3;;;;No clouds;16.0;13.0
31.08.2022 3:53;16.0;743.3;760.5;88;Wind blowing from the west;3;;;;No clouds;16.0;14.0
31.08.2022 2:53;16.0;743.3;760.5;88;Wind blowing from the west;3;;;;No clouds;16.0;14.0
31.08.2022 1:53;16.0;743.0;760.2;88;Wind blowing from the west;3;;;;No clouds;16.0;14.0
31.08.2022 0:53;17.0;743.0;760.2;83;Wind blowing from the west;3;;;;No clouds;16.0;14.0
30.08.2022 23:53;18.0;743.4;760.5;78;Wind blowing from the west;4;;;;Few clouds (10-30%) 1650 m;16.0;14.0
30.08.2022 22:53;19.0;743.1;760.2;73;Wind blowing from the west;3;;;;Few clouds (10-30%) 1650 m;16.0;14.0
30.08.2022 21:53;20.0;743.0;760.0;69;Wind blowing from the west;4;;;;Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 1650 m;16.0;14.0
30.08.2022 20:53;21.0;742.8;759.7;64;Wind blowing from the west-northwest;4;;;;Few clouds (10-30%) 1950 m;16.0;14.0
30.08.2022 19:53;22.0;742.3;759.2;61;Wind blowing from the west;5;;;;Broken clouds (60-90%) 1950 m;16.0;14.0
30.08.2022 18:53;23.0;741.6;758.4;57;Wind blowing from the west-northwest;8;10;;;Overcast (100%) 1950 m;16.0;14.0
30.08.2022 17:53;24.0;741.2;757.9;47;Wind blowing from the west;9;12;;;Scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 3000 m;16.0;12.0
30.08.2022 16:53;26.0;741.1;757.7;42;Wind blowing from the west;7;12;;;Scattered clouds (40-50%) 1650 m, scattered clouds (40-50%) 1950 m;16.0;12.0
30.08.2022 15:53;26.0;740.8;757.4;51;Wind blowing from the west-northwest;7;12;;;Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 1950 m, broken clouds (60-90%) 2700 m;16.0;15.0
30.08.2022 14:53;27.0;741.2;757.7;48;Wind blowing from the west;8;;;;Few clouds (10-30%) 1500 m, few clouds (10-30%) 2250 m, broken clouds (60-90%) 2850 m;16.0;15.0
30.08.2022 13:53;27.0;741.2;757.7;48;Wind blowing from the west;9;12;;;Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m;16.0;15.0
30.08.2022 12:53;27.0;741.2;757.7;48;Wind blowing from the west-northwest;6;12;;;Few clouds (10-30%) 1350 m, scattered clouds (40-50%) 1650 m, broken clouds (60-90%) 2100 m;16.0;15.0
30.08.2022 11:53;24.0;741.5;758.2;54;Wind blowing from the west;7;;;;Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 2100 m;16.0;14.0
30.08.2022 10:53;25.0;741.7;758.4;61;Wind blowing from the west-southwest;4;;;;Few clouds (10-30%) 750 m, scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 1500 m;16.0;17.0
30.08.2022 10:18;24.0;742.0;758.7;69;Wind blowing from the west;4;9;;;Scattered clouds (40-50%) 690 m;16.0;18.0
