YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2022,3,8,01/08/2022 12:00:00 AM,9E,N136EV,4774,11433,1143302,31295,DTW,15412,1541205,35412,TYS,2135,2134,0.00,0.00,,67.00,443.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N136EV,4810,12339,1233904,32337,IND,11433,1143302,31295,DTW,1805,1813,8.00,0.00,,44.00,231.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N176PQ,4752,14576,1457606,34576,ROC,11433,1143302,31295,DTW,1029,1019,0.00,0.00,,51.00,296.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N176PQ,5422,11433,1143302,31295,DTW,11267,1126702,31267,DAY,1414,1409,0.00,0.00,,32.00,166.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N182GJ,5186,11433,1143302,31295,DTW,14122,1412202,30198,PIT,1610,1619,9.00,0.00,,40.00,201.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N182GJ,5358,11042,1104205,30647,CLE,11433,1143302,31295,DTW,1310,1300,0.00,0.00,,26.00,95.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N184GJ,5101,11042,1104205,30647,CLE,11433,1143302,31295,DTW,1030,1058,28.00,0.00,,25.00,95.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N184GJ,5166,11433,1143302,31295,DTW,13244,1324402,33244,MEM,1359,1357,0.00,0.00,,87.00,610.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N184GJ,5166,13244,1324402,33244,MEM,11433,1143302,31295,DTW,1700,1705,5.00,0.00,,88.00,610.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N186PQ,4760,11433,1143302,31295,DTW,11423,1142307,31423,DSM,1615,1610,0.00,0.00,,74.00,534.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N200PQ,5213,11423,1142307,31423,DSM,11433,1143302,31295,DTW,1013,1012,0.00,0.00,,73.00,534.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N200PQ,5213,11433,1143302,31295,DTW,11423,1142307,31423,DSM,0835,0831,0.00,0.00,,78.00,534.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N200PQ,5465,11433,1143302,31295,DTW,12478,1247805,31703,JFK,1410,1411,1.00,0.00,,74.00,509.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N232PQ,4935,14307,1430705,30721,PVD,11433,1143302,31295,DTW,1705,1700,0.00,0.00,,93.00,615.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N232PQ,5235,11433,1143302,31295,DTW,14307,1430705,30721,PVD,2125,2121,0.00,0.00,,83.00,615.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N279PQ,4683,11433,1143302,31295,DTW,12478,1247805,31703,JFK,0710,0709,0.00,0.00,,77.00,509.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N297PQ,5042,11423,1142307,31423,DSM,11433,1143302,31295,DTW,1714,1708,0.00,0.00,,73.00,534.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N297PQ,5349,11433,1143302,31295,DTW,14576,1457606,34576,ROC,2135,2133,0.00,0.00,,53.00,296.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N299PQ,4915,11423,1142307,31423,DSM,11433,1143302,31295,DTW,0620,0615,0.00,0.00,,75.00,534.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N299PQ,5015,10257,1025702,30257,ALB,11433,1143302,31295,DTW,1245,1240,0.00,0.00,,76.00,489.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N299PQ,5400,11433,1143302,31295,DTW,10257,1025702,30257,ALB,1005,1000,0.00,0.00,,63.00,489.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N299PQ,5411,11433,1143302,31295,DTW,11042,1104205,30647,CLE,1610,1605,0.00,0.00,,26.00,95.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N301PQ,5325,11433,1143302,31295,DTW,11193,1119302,33105,CVG,2120,2118,0.00,0.00,,42.00,229.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N303PQ,4879,11433,1143302,31295,DTW,14576,1457606,34576,ROC,0744,0739,0.00,0.00,,49.00,296.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N304PQ,4800,11193,1119302,33105,CVG,11433,1143302,31295,DTW,1025,1018,0.00,0.00,,45.00,229.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N304PQ,5137,11433,1143302,31295,DTW,14307,1430705,30721,PVD,1345,1335,0.00,0.00,,84.00,615.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N306PQ,4836,11433,1143302,31295,DTW,15412,1541205,35412,TYS,1023,1029,6.00,0.00,,62.00,443.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N306PQ,4836,15412,1541205,35412,TYS,11433,1143302,31295,DTW,1240,1232,0.00,0.00,,66.00,443.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N306PQ,5110,14307,1430705,30721,PVD,11433,1143302,31295,DTW,0550,0546,0.00,0.00,,92.00,615.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N306PQ,5521,11433,1143302,31295,DTW,11193,1119302,33105,CVG,1559,1554,0.00,0.00,,38.00,229.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N307PQ,5104,11433,1143302,31295,DTW,12339,1233904,32337,IND,1215,1210,0.00,0.00,,39.00,231.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N307PQ,5104,12339,1233904,32337,IND,11433,1143302,31295,DTW,1407,1402,0.00,0.00,,47.00,231.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N307PQ,5299,14576,1457606,34576,ROC,11433,1143302,31295,DTW,0635,0630,0.00,0.00,,49.00,296.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N307PQ,5300,10469,1046902,30469,AZO,11433,1143302,31295,DTW,1755,1750,0.00,0.00,,27.00,113.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N307PQ,5300,11433,1143302,31295,DTW,10469,1046902,30469,AZO,1625,1620,0.00,0.00,,28.00,113.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N310PQ,4638,11433,1143302,31295,DTW,11042,1104205,30647,CLE,1220,1216,0.00,0.00,,23.00,95.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N310PQ,4994,11433,1143302,31295,DTW,12478,1247805,31703,JFK,1945,1948,3.00,0.00,,79.00,509.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N310PQ,5076,11042,1104205,30647,CLE,11433,1143302,31295,DTW,1810,1811,1.00,0.00,,25.00,95.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N313PQ,5318,11996,1199603,31871,GSP,11433,1143302,31295,DTW,0600,0555,0.00,0.00,,74.00,508.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N316PQ,4756,11193,1119302,33105,CVG,11433,1143302,31295,DTW,1745,1913,88.00,0.00,,46.00,229.00,12.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N316PQ,4883,11433,1143302,31295,DTW,11423,1142307,31423,DSM,2005,2105,60.00,0.00,,74.00,534.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N316PQ,5462,13487,1348702,31650,MSP,15380,1538005,35380,TVC,1000,1039,39.00,0.00,,67.00,376.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N316PQ,5462,15380,1538005,35380,TVC,13487,1348702,31650,MSP,1300,1348,48.00,0.00,,57.00,376.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N319PQ,4670,14122,1412202,30198,PIT,11433,1143302,31295,DTW,1939,2012,33.00,0.00,,40.00,201.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N319PQ,4759,12953,1295304,31703,LGA,15380,1538005,35380,TVC,0805,0801,0.00,0.00,,100.00,655.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N319PQ,4759,15380,1538005,35380,TVC,12953,1295304,31703,LGA,1105,1111,6.00,0.00,,105.00,655.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N324PQ,4989,11433,1143302,31295,DTW,13931,1393102,33667,ORF,1000,0955,0.00,0.00,,80.00,529.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N324PQ,5027,11193,1119302,33105,CVG,11433,1143302,31295,DTW,0605,0600,0.00,0.00,,43.00,229.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N325PQ,5243,11433,1143302,31295,DTW,15096,1509602,35096,SYR,2135,2145,10.00,0.00,,60.00,374.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N325PQ,5378,11433,1143302,31295,DTW,15096,1509602,35096,SYR,1454,1453,0.00,0.00,,51.00,374.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N325PQ,5378,15096,1509602,35096,SYR,11433,1143302,31295,DTW,1700,1703,3.00,0.00,,59.00,374.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N331CA,5129,11995,1199502,31995,GSO,11433,1143302,31295,DTW,1700,2000,180.00,0.00,,65.00,460.00,15.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N335PQ,4676,12478,1247805,31703,JFK,11433,1143302,31295,DTW,0659,0652,0.00,0.00,,81.00,509.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N335PQ,5074,12478,1247805,31703,JFK,11433,1143302,31295,DTW,1725,1718,0.00,0.00,,82.00,509.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N335PQ,5173,11433,1143302,31295,DTW,14122,1412202,30198,PIT,2250,2304,14.00,0.00,,39.00,201.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N335PQ,5301,11433,1143302,31295,DTW,11193,1119302,33105,CVG,1226,1225,0.00,0.00,,39.00,229.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N368CA,4772,11433,1143302,31295,DTW,11995,1199502,31995,GSO,1550,1546,0.00,0.00,,69.00,460.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N368CA,5427,11433,1143302,31295,DTW,15096,1509602,35096,SYR,1057,1049,0.00,0.00,,54.00,374.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N368CA,5427,15096,1509602,35096,SYR,11433,1143302,31295,DTW,1325,1315,0.00,0.00,,60.00,374.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N371CA,4755,11193,1119302,33105,CVG,11433,1143302,31295,DTW,1409,1419,10.00,0.00,,44.00,229.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N376CA,4763,13931,1393102,33667,ORF,11433,1143302,31295,DTW,1715,1852,97.00,0.00,,86.00,529.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N398CA,5016,13931,1393102,33667,ORF,11433,1143302,31295,DTW,1328,1805,277.00,0.00,,85.00,529.00,0.00
2022,3,8,01/08/2022 12:00:00 AM,9E,N398CA,5059,11433,1143302,31295,DTW,14576,1457606,34576,ROC,1000,0955,0.00,0.00,,46.00,296.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N398CA,5059,14576,1457606,34576,ROC,11433,1143302,31295,DTW,1200,1150,0.00,0.00,,51.00,296.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N398CA,5343,11433,1143302,31295,DTW,13931,1393102,33667,ORF,1425,1421,0.00,0.00,,84.00,529.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N479PX,4779,11986,1198603,31986,GRR,12953,1295304,31703,LGA,0635,0631,0.00,0.00,,80.00,618.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N490PX,5288,12953,1295304,31703,LGA,11986,1198603,31986,GRR,2029,2030,1.00,0.00,,87.00,618.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N601XJ,4777,11433,1143302,31295,DTW,10469,1046902,30469,AZO,2255,2256,1.00,0.00,,24.00,113.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N601XJ,4835,11433,1143302,31295,DTW,12884,1288403,32884,LAN,1030,1029,0.00,0.00,,19.00,74.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N601XJ,4835,12884,1288403,32884,LAN,11433,1143302,31295,DTW,1200,1147,0.00,0.00,,21.00,74.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N601XJ,5425,10577,1057705,30577,BGM,11433,1143302,31295,DTW,1541,1535,0.00,0.00,,62.00,378.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N601XJ,5425,11433,1143302,31295,DTW,10577,1057705,30577,BGM,1345,1345,0.00,0.00,,52.00,378.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N601XJ,5497,11203,1120302,30424,CWA,11433,1143302,31295,DTW,0620,0615,0.00,0.00,,59.00,363.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N602LR,5189,10785,1078502,30785,BTV,11433,1143302,31295,DTW,1700,1700,0.00,0.00,,83.00,537.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N602LR,5189,11433,1143302,31295,DTW,10785,1078502,30785,BTV,1434,1430,0.00,0.00,,69.00,537.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N602LR,5351,11433,1143302,31295,DTW,11996,1199603,31871,GSP,2115,2107,0.00,0.00,,72.00,508.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N685BR,4872,13184,1318403,33184,MBS,11433,1143302,31295,DTW,0535,0526,0.00,0.00,,22.00,98.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N685BR,4968,11433,1143302,31295,DTW,11003,1100303,31003,CID,1555,1550,0.00,0.00,,65.00,430.00,
2022,3,8,01/08/2022 12:00:00 AM,9E,N685BR,5141,11433,1143302,31295,DTW,12884,1288403,32884,LAN,2255,0014,79.00,0.00,,19.00,74.00,0.00
